"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point056",2014-02-01,0,1360.55300000001,6496.26400000043,0,0,NA,0,0,NA,41.9892870175665,26.0530751422325,NA,0,0
"point276",2014-02-01,0,2640.42099999997,6390.11899999995,0,0,NA,0,0,NA,674.09213703207,498.960518756738,NA,288.373472874971,186.438994133736
"point741",2014-02-01,0,2579.386,6093.80700000003,2767.65499442608,2833.49005795488,NA,1218.43545928866,1353.39767936652,NA,2908.73144291462,0,NA,0,0
"point742",2014-02-01,0,2494.14799999999,6790.83499999996,0,0,NA,85.0359476580549,57.2235671403507,NA,18.0566563603229,161.330594033215,NA,85.00700163072,57.2028470689146
"point743",2014-02-01,0,2031.788,6607.68099999987,0,0,NA,0,0,NA,81.3991226009349,96.9863507185529,NA,30.8689589768398,10.6158025825728
"point473",2014-02-01,0,1766.228,6486.53000000026,0,0,NA,0,0,NA,113.503674532086,69.6377874507995,NA,305.95705858664,287.744687997711
"point024",2014-02-01,0,2316.18099999998,6887.66700000037,0,0,NA,283.623671987233,222.71310568625,NA,346.732070647011,278.225996577785,NA,18.0566563603229,161.330594033215
"point022",2014-02-01,0,1564.06199999998,6289.88900000043,0,0,NA,86.479692385502,55.6852407206108,NA,132.702322961452,105.088139981958,NA,74.0879420049482,45.1758802229305
"point344",2014-02-01,0,2484.94900000002,6762.94000000041,85.00700163072,57.2028470689146,NA,85.0359476580549,57.2235671403507,NA,0,0,NA,272.63215395436,400.258294338385
"point021",2014-02-01,0,1289.36499999999,6796.8629999999,41.9892870175665,26.0530751422325,NA,0,0,NA,0,0,NA,0,0
"point348",2014-02-01,0,2781.94,6223.69799999986,0,0,NA,0,0,NA,544.240928508264,523.590009219209,NA,1055.13531117499,918.975928933813
"point351",2014-02-01,0,2660.48100000003,5974.26900000032,0,0,NA,0,0,NA,76.0691123454965,46.3358029462094,NA,0,0
"point419",2014-02-01,0,2773.43800000002,6053.34700000007,2169.05701919234,1752.27819958276,NA,0,0,NA,0,0,NA,710.903519020032,533.599914156731
"point016",2014-02-01,0,2255.52000000002,7218.53600000031,0,0,NA,324.657182712968,273.528515727682,NA,283.623671987233,222.71310568625,NA,346.732070647011,278.225996577785
"point420",2014-02-01,0,2627.05300000001,6251.31400000025,0,721.947445413885,NA,0,0,NA,1055.13531117499,918.975928933813,NA,2908.73144291462,0
"point432",2014-02-01,0,2075.337,6700.03699999955,81.3991226009349,96.9863507185529,NA,30.8689589768398,10.6158025825728,NA,0,0,NA,0,0
"point094",2014-02-01,0,2800.75099999999,6115.96999999974,0,0,NA,2169.05701919234,1752.27819958276,NA,544.240928508264,523.590009219209,NA,0,0
"point095",2014-02-01,0,2570.29599999997,6181.23900000006,2908.73144291462,0,NA,2767.65499442608,2833.49005795488,NA,0,721.947445413885,NA,0,0
"point433",2014-02-01,0,2633.20400000003,6583.3320000004,0.111202498128259,0,NA,0,0,NA,0,0,NA,193.951457256102,400.222252587175
"point427",2014-02-01,0,2564.52299999999,6408.14499999955,0,0,NA,288.373472874971,186.438994133736,NA,674.09213703207,498.960518756738,NA,0,0
