"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point056",2013-11-01,0,1360.55300000001,6496.26400000043,5.28720982440418,0.295811661953728,NA,0,0.151335270811746,NA,4.49891741640464,0.0559571429621428,NA,0,0
"point276",2013-11-01,0,2640.42099999997,6390.11899999995,0,122.720326369371,NA,0,67.1656859421469,NA,90.7716646312858,70.7190561619138,NA,24.4947465217847,69.1283321380615
"point741",2013-11-01,0,2579.386,6093.80700000003,2731.4920365288,2604.63934426229,NA,1338.93138615365,1174.39929998648,NA,0,25.6443403548928,NA,0,0
"point742",2013-11-01,0,2494.14799999999,6790.83499999996,0,18.4135132179604,NA,0,0.0120000001043081,NA,152.694384171502,111.849716806033,NA,0,0.0235042367919774
"point743",2013-11-01,0,2031.788,6607.68099999987,0,79.63783951493,NA,0,15.2616788362362,NA,149.473754475448,208.53781512605,NA,0,36.353270343531
"point473",2013-11-01,0,1766.228,6486.53000000026,3.45058103420861,2.21322575911948,NA,0,0,NA,9.6682033858647,0.0117460190058107,NA,245.494506968153,225.000226869705
"point024",2013-11-01,0,2316.18099999998,6887.66700000037,0,70.6041666666667,NA,108.553637660715,168.885420583274,NA,137.637499822587,180.078300016104,NA,152.694384171502,111.849716806033
"point022",2013-11-01,0,1564.06199999998,6289.88900000043,0,0.151335270811746,NA,9.79064022641523,0.333199989795685,NA,54.1822818973636,33.5425845773813,NA,7.71694647861069,0.102769230993894
"point344",2013-11-01,0,2484.94900000002,6762.94000000041,0,0.0235042367919774,NA,0,0.0120000001043081,NA,0,18.4135132179604,NA,355.148839973194,293.029129066566
"point021",2013-11-01,0,1289.36499999999,6796.8629999999,4.49891741640464,0.0559571429621428,NA,5.28720982440418,0.295811661953728,NA,0,0,NA,0,0
"point348",2013-11-01,0,2781.94,6223.69799999986,0,0.0117604673413612,NA,0,11.8919731555342,NA,459.452272032698,417.120848273538,NA,475.692533762155,317.753986493573
"point351",2013-11-01,0,2660.48100000003,5974.26900000032,0,0.11387255106097,NA,0,2.99183613550468,NA,26.6800441719272,30.1237136834214,NA,0,0
"point419",2013-11-01,0,2773.43800000002,6053.34700000007,651.142843715814,10.3437897050457,NA,0,0.663560610828978,NA,0,0,NA,255.111514044199,153.163315935392
"point016",2013-11-01,0,2255.52000000002,7218.53600000031,0,13.8292037744438,NA,146.435008099005,78.9499468069616,NA,108.553637660715,168.885420583274,NA,137.637499822587,180.078300016104
"point420",2013-11-01,0,2627.05300000001,6251.31400000025,4468.08690139379,4732.06209150327,NA,0,0,NA,475.692533762155,317.753986493573,NA,0,25.6443403548928
"point432",2013-11-01,0,2075.337,6700.03699999955,149.473754475448,208.53781512605,NA,0,36.353270343531,NA,0,15.2616788362362,NA,0,79.63783951493
"point094",2013-11-01,0,2800.75099999999,6115.96999999974,0,0.663560610828978,NA,651.142843715814,10.3437897050457,NA,459.452272032698,417.120848273538,NA,0,0
"point095",2013-11-01,0,2570.29599999997,6181.23900000006,0,25.6443403548928,NA,2731.4920365288,2604.63934426229,NA,4468.08690139379,4732.06209150327,NA,0,0
"point433",2013-11-01,0,2633.20400000003,6583.3320000004,8.82911424705525,12.8500001430511,NA,0,0,NA,0,0,NA,501.505087526328,474.620602771962
"point427",2013-11-01,0,2564.52299999999,6408.14499999955,0,31.6473396998636,NA,24.4947465217847,69.1283321380615,NA,90.7716646312858,70.7190561619138,NA,0,67.1656859421469
"point421",2013-11-01,0,2464.848,6258.47599999979,0,15.6558138692101,NA,383.106601604073,402.10565627861,NA,382.721724318051,401.715551382474,NA,0,0
"point356",2013-11-01,0,1864.87800000003,6215.86199999973,0,0.0120000001043081,NA,0,0,NA,281.672708454704,271.415862564904,NA,0,0
"point352",2013-11-01,0,2660.97700000001,5976.33299999963,0,2.99183613550468,NA,0,0.11387255106097,NA,26.6800441719272,30.1237136834214,NA,0,0
"point448",2013-11-01,0,1631.46999999997,6153.81599999964,7.71694647861069,0.102769230993894,NA,54.1822818973636,33.5425845773813,NA,0,0,NA,0,0
"point354",2013-11-01,0,2356.10399999999,6144.98099999968,0,0.169867372046414,NA,0,0,NA,395.693915694383,368.124611635916,NA,49.2188657786109,83.6216434978813
"point434",2013-11-01,0,2771.31699999998,6226.62399999984,0,11.8919731555342,NA,0,0.0117604673413612,NA,459.452272032698,417.120848273538,NA,475.692533762155,317.753986493573
"point438",2013-11-01,0,2605.48700000002,6402.12899999972,24.4947465217847,69.1283321380615,NA,90.7716646312858,70.7190561619138,NA,0,67.1656859421469,NA,0,122.720326369371
"point345",2013-11-01,0,2485.11300000001,6764.7790000001,0,0.0120000001043081,NA,0,0.0235042367919774,NA,0,18.4135132179604,NA,355.148839973194,293.029129066566
"point441",2013-11-01,0,1870.61499999999,6357.72800000012,17.6078679451761,7.47675672307745,NA,245.494506968153,225.000226869705,NA,9.6682033858647,0.0117460190058107,NA,0,0.100205359864049
"point443",2013-11-01,0,1667.63299999997,6305.26699999999,9.79064022641523,0.333199989795685,NA,165.318314883881,136.602286884128,NA,0,0.151335270811746,NA,0,0
"point401",2013-11-01,0,2702.51699999999,6878.70000000019,0,1.00586668082646,NA,0,0,NA,501.505087526328,474.620602771962,NA,152.694384171502,111.849716806033
"point370",2013-11-01,0,1833.02500000002,6361.75700000022,9.6682033858647,0.0117460190058107,NA,245.494506968153,225.000226869705,NA,0,3.05270272761852,NA,17.6078679451761,7.47675672307745
"point368",2013-11-01,0,2084.375,6481.80700000003,0,4.02698123679971,NA,569.789634093455,510.580579158517,NA,561.072643026909,564.349382340174,NA,0,16.2281167108753
"point360",2013-11-01,0,2763.826,4861.41199999955,0,0.0728144743724873,NA,66.3667996047886,42.3122230458904,NA,139.349752408646,86.0453476083936,NA,162.133476259451,100.701916204016
"point464",2013-11-01,0,2130.77899999998,6470.40699999966,0,16.2281167108753,NA,0,4.02698123679971,NA,12.0463269803971,17.7336132786855,NA,293.29297562556,309.28985239422
